PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
C.[OH-]	20473471	VUZPPFZMUPKLLV-UHFFFAOYSA-M	CH5O-	33.05
[CH2+]C=O	20742452	UKHGZNUEZHOQQT-UHFFFAOYSA-N	C2H3O+	43.045
[H+].[H+].[H+].[OH-]	21832023	XLYOFNOQVPJJNP-UHFFFAOYSA-P	H4O+2	20.031
[H+].C	21881157	VNWKTOKETHGBQD-UHFFFAOYSA-O	CH5+	17.051
[H+].C=C	21922201	VGGSQFUCUMXWEO-UHFFFAOYSA-O	C2H5+	29.062
[CH+]=CC=O	22088901	MPAMDPUZLKLNGK-UHFFFAOYSA-N	C3H3O+	55.056
C1=CC=C(C=C1)C=O	22861502	HUMNYLRZRPPJDN-BNTXRSFWSA-N	C7H6O	106.113
C1=[C-]C=[C-]C=[C-]1	23304199	ZBVFCOWRNQMLHG-UHFFFAOYSA-N	C6H3-3	75.09
CC	24996455	OTMSDBZUPAUEDD-ZCWHFVSRSA-N	C2H6	30.048
C	44623071	VNWKTOKETHGBQD-RAKRPYOASA-N	CH4	19.043
[O-2]	46830030	AHKZTVQIVOEVFO-BJUDXGSMSA-N	O-2	15.003
[CH2-]C[C+]=C	53627797	VNJDGPAEVCGZNX-UHFFFAOYSA-N	C4H6	54.092
[CH2-]C(=C)[C+]	53627808	NJRZNDKQMFRHLB-UHFFFAOYSA-N	C4H4	52.076
CC(=C)[C+]	53627809	IFECCARBAZGGQR-UHFFFAOYSA-N	C4H5+	53.084
C=C[C]=C=C	53628004	QZQVQBDQGWLCFV-UHFFFAOYSA-N	C5H5	65.095
C=[C]C(=C)C=O	53628057	FXULGHHLXQMCCF-UHFFFAOYSA-N	C5H5O	81.094
[CH2-]C(=C)[C+]=C	53629272	RWMBZRHUUIXTCF-UHFFFAOYSA-N	C5H6	66.103
C1=CC=CC=C1	56845949	UHOVQNZJYSORNB-FYFKOAPZSA-N	C6H6	81.132
C[C]=O	56846173	TUCNEACPLKLKNU-XPULMUKRSA-N	C2H3O	47.029
C1=CC=C([C]=C1)C=O	57419975	CMMSYGXHIAUYLD-UHFFFAOYSA-N	C7H5O	105.116
C1=CC(=C[C]=C1)C=O	57419976	VBAUDQMPFBOGRT-UHFFFAOYSA-N	C7H5O	105.116
C1=CC(=CC=[C]1)C=O	57419977	ZIPXEKIWTNBDRX-UHFFFAOYSA-N	C7H5O	105.116
C1=CC=[C]C=C1	57480880	CIUQDSCDWFSTQR-ZQBYOMGUSA-N	C6H5	79.098
[C]1=[C][C]=[C][C]=[C]1	57518766	PXCDDPIOUAJVRE-YROCTSJKSA-N	C6	84.019
[HH].[H+]	57518777	UFHFLCQGNIYNRP-UHFFFAOYSA-O	H3+	3.024
C=CC(=C)[CH]	57538266	GCGFAIDIUQRHFD-UHFFFAOYSA-N	C5H6	66.103
C=CC=O	57703927	HGINCPLSRVDWNT-MICDWDOJSA-N	C3H4O	57.07
CCC=O	57775695	NBBJYMSMWIIQGU-CNRUNOGKSA-N	C3H6O	60.088
C=C	58681544	VGGSQFUCUMXWEO-XIGASBNHSA-N	C2H4	31.068
C	58965162	VNWKTOKETHGBQD-UOEDLBSCSA-N	CH4	26.09
C=CC=C	59017170	KAKZBPTYRLMSJV-RVQWGROCSA-N	C4H6	58.108
C=O	71309205	WSFSSNUMVMOOMR-IGMARMGPSA-N	CH2O	30.015
O	72700706	XLYOFNOQVPJJNP-OIOBTWANSA-N	H2O	15.041
O	76071083	XLYOFNOQVPJJNP-NAQDNALJSA-N	H2O	19.017
C=C[CH-]C=[CH+]	85441793	ZSHYOYIAPIWMET-UHFFFAOYSA-N	C5H6	66.103
C[C+]=C=C=C	85536715	UUDJYDOJEQMAEI-UHFFFAOYSA-N	C5H5+	65.095
C=C[C+]=C	85887071	NEJQESDHQQPTDG-UHFFFAOYSA-N	C4H5+	53.084
[CH+]=C=[CH+]	86145220	GGEBJFXVLAJNJR-UHFFFAOYSA-N	C3H2+2	38.049
C=O	90474223	WSFSSNUMVMOOMR-WGVGGRBOSA-N	CH2O	33.031
C1C=C=CC=[C]1	90806197	ZWDYVRWOPCTASS-UHFFFAOYSA-N	C6H5	77.106
C1=CC=[C]C=C1	90864744	CIUQDSCDWFSTQR-RALIUCGRSA-N	C6H5	82.137
C[CH2]	100921595	QUPDWYMUPZLYJZ-KPAILUHGSA-N	C2H5	34.093
