PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHI	PUBCHEM_MOLECULAR_WEIGHT
C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)[O-].[Ag+]	129161163	InChI=1S/C14H10O5.Ag/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17;/h1-8,15H,(H,16,17);/q;+1/p-1	365.089
CCC(CCCOC1=CC=CC=C1C(=O)O)OC(=O)C(=C)C	129138046	InChI=1S/C17H22O5/c1-4-13(22-17(20)12(2)3)8-7-11-21-15-10-6-5-9-14(15)16(18)19/h5-6,9-10,13H,2,4,7-8,11H2,1,3H3,(H,18,19)	306.358
CC(C)(C)C(=O)OC1=CC(=C(C=C1)O)C(=O)OC#C	129105804	InChI=1S/C14H14O5/c1-5-18-12(16)10-8-9(6-7-11(10)15)19-13(17)14(2,3)4/h1,6-8,15H,2-4H3	262.261
CC(C)(C)C(=O)OC1=CC(=C(C=C1)O)C(=O)OC	129105710	InChI=1S/C13H16O5/c1-13(2,3)12(16)18-8-5-6-10(14)9(7-8)11(15)17-4/h5-7,14H,1-4H3	252.266
CC(=O)C1=C(C=CC=C1OC(=O)C(C)(C)C)O	129105677	InChI=1S/C13H16O4/c1-8(14)11-9(15)6-5-7-10(11)17-12(16)13(2,3)4/h5-7,15H,1-4H3	236.267
C1=CC=C(C(=C1)C=O)OC(=O)CCCCC(=O)OC2=CC=CC=C2C(=O)O	129085668	InChI=1S/C20H18O7/c21-13-14-7-1-3-9-16(14)26-18(22)11-5-6-12-19(23)27-17-10-4-2-8-15(17)20(24)25/h1-4,7-10,13H,5-6,11-12H2,(H,24,25)	370.357
CC(=O)OC1=CC=CC=C1C(=O)[Se]CC[Se]C#N	127030913	InChI=1S/C12H11NO3Se2/c1-9(14)16-11-5-3-2-4-10(11)12(15)18-7-6-17-8-13/h2-5H,6-7H2,1H3	375.166
CC(=O)OC1=CC=CC=C1C(=O)OCC[Se]C#N	127030312	InChI=1S/C12H11NO4Se/c1-9(14)17-11-5-3-2-4-10(11)12(15)16-6-7-18-8-13/h2-5H,6-7H2,1H3	312.194
CC(OC1=CC=CC=C1C(=O)O)Cl	126749487	InChI=1S/C9H9ClO3/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-6H,1H3,(H,11,12)	200.618
CC(OC1=CC=CC=C1C(=O)O)(Cl)Cl	126749475	InChI=1S/C9H8Cl2O3/c1-9(10,11)14-7-5-3-2-4-6(7)8(12)13/h2-5H,1H3,(H,12,13)	235.06
CC(OC1=CC=CC=C1C(=O)O)(F)Cl	126749465	InChI=1S/C9H8ClFO3/c1-9(10,11)14-7-5-3-2-4-6(7)8(12)13/h2-5H,1H3,(H,12,13)	218.608
CCC(C1(CC1)C(=O)O)OC2=CC=CC=C2C(=O)O	126744207	InChI=1S/C14H16O5/c1-2-11(14(7-8-14)13(17)18)19-10-6-4-3-5-9(10)12(15)16/h3-6,11H,2,7-8H2,1H3,(H,15,16)(H,17,18)	264.277
CC(C1(CC1)C(=O)O)OC2=CC=CC=C2C(=O)O	126744205	InChI=1S/C13H14O5/c1-8(13(6-7-13)12(16)17)18-10-5-3-2-4-9(10)11(14)15/h2-5,8H,6-7H2,1H3,(H,14,15)(H,16,17)	250.25
CC(C)C1=CC(=C(C=C1)C(=O)O)OC(=O)C	126723603	InChI=1S/C12H14O4/c1-7(2)9-4-5-10(12(14)15)11(6-9)16-8(3)13/h4-7H,1-3H3,(H,14,15)	222.24
CC(=O)OC1=CC=CC=C1C(=O)OCC2=CC=C(C=C2)O	126684126	InChI=1S/C16H14O5/c1-11(17)21-15-5-3-2-4-14(15)16(19)20-10-12-6-8-13(18)9-7-12/h2-9,18H,10H2,1H3	286.283
CC(=O)OC1=C(C=CC(=C1)C(C)(F)F)C(=O)O	126682434	InChI=1S/C11H10F2O4/c1-6(14)17-9-5-7(11(2,12)13)3-4-8(9)10(15)16/h3-5H,1-2H3,(H,15,16)	244.194
CCCCCCC=CC=CCCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	124018735	InChI=1S/C25H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-24(26)29-23-20-18-17-19-22(23)25(27)28/h7-10,17-20H,2-6,11-16,21H2,1H3,(H,27,28)	400.559
CC1=CC=C(C=C1)C(=O)O.CC(=O)OC1=CC=CC=C1C(=O)O	124016260	InChI=1S/C9H8O4.C8H8O2/c1-6(10)13-8-5-3-2-4-7(8)9(11)12;1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,11,12);2-5H,1H3,(H,9,10)	316.309
CCC=CCC=CCC=CCC=CCC=CCCCCSC(CC)C(=O)OC1=CC=CC=C1C(=O)O	123908640	InChI=1S/C31H42O4S/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-23-26-36-29(4-2)31(34)35-28-25-22-21-24-27(28)30(32)33/h5-6,8-9,11-12,14-15,17-18,21-22,24-25,29H,3-4,7,10,13,16,19-20,23,26H2,1-2H3,(H,32,33)/t29-/m0/s1	510.733
CCC=CCC=CCC=CCC=CCC=CCCCCSC(CC)C(=O)OC1=CC=CC=C1C(=O)O	123882218	InChI=1S/C31H42O4S/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-23-26-36-29(4-2)31(34)35-28-25-22-21-24-27(28)30(32)33/h5-6,8-9,11-12,14-15,17-18,21-22,24-25,29H,3-4,7,10,13,16,19-20,23,26H2,1-2H3,(H,32,33)/t29-/m1/s1	510.733
CCC=CCC=CCC=CCC=CCC=CCCOC(CC)C(=O)OC1=CC=CC=C1C(=O)O	123799546	InChI=1S/C29H38O5/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-21-24-33-26(4-2)29(32)34-27-23-20-19-22-25(27)28(30)31/h5-6,8-9,11-12,14-15,17-20,22-23,26H,3-4,7,10,13,16,21,24H2,1-2H3,(H,30,31)	466.618
CCCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC1=CC=CC=C1C(=O)O	123653986	InChI=1S/C30H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-26-29(31)34-28-25-23-22-24-27(28)30(32)33/h4-5,7-8,10-11,13-14,16-17,19-20,22-25H,2-3,6,9,12,15,18,21,26H2,1H3,(H,32,33)	462.63
CCC=CCC=CCC=CCCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	123611244	InChI=1S/C25H34O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-24(26)29-23-20-18-17-19-22(23)25(27)28/h3-4,6-7,9-10,17-20H,2,5,8,11-16,21H2,1H3,(H,27,28)	398.543
CCC=CCC=CCC=CCC=CCC=CCCCCOC(CC)C(=O)OC1=CC=CC=C1C(=O)O	123522823	InChI=1S/C31H42O5/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-23-26-35-28(4-2)31(34)36-29-25-22-21-24-27(29)30(32)33/h5-6,8-9,11-12,14-15,17-18,21-22,24-25,28H,3-4,7,10,13,16,19-20,23,26H2,1-2H3,(H,32,33)/t28-/m0/s1	494.672
CCCCCC=CCC=CCCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	123449974	InChI=1S/C25H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-24(26)29-23-20-18-17-19-22(23)25(27)28/h6-7,9-10,17-20H,2-5,8,11-16,21H2,1H3,(H,27,28)	400.559
COC1=C(C=CC(=C1)C=C)C(=O)O	123411120	InChI=1S/C10H10O3/c1-3-7-4-5-8(10(11)12)9(6-7)13-2/h3-6H,1H2,2H3,(H,11,12)	178.187
CC.CC(C)(C)OC(=O)C1=CC=CC=C1O	123365037	InChI=1S/C11H14O3.C2H6/c1-11(2,3)14-10(13)8-6-4-5-7-9(8)12;1-2/h4-7,12H,1-3H3;1-2H3	224.3
CCC=CCC=CCC=CCC=CCC=CCCCCOC(CC)C(=O)OC1=CC=CC=C1C(=O)O	123251602	InChI=1S/C31H42O5/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-23-26-35-28(4-2)31(34)36-29-25-22-21-24-27(29)30(32)33/h5-6,8-9,11-12,14-15,17-18,21-22,24-25,28H,3-4,7,10,13,16,19-20,23,26H2,1-2H3,(H,32,33)/t28-/m1/s1	494.672
CCCCCC(CCC)CC1=CC=CC(=C1OC(=O)C)C(=O)O	123172291	InChI=1S/C19H28O4/c1-4-6-7-10-15(9-5-2)13-16-11-8-12-17(19(21)22)18(16)23-14(3)20/h8,11-12,15H,4-7,9-10,13H2,1-3H3,(H,21,22)	320.429
CC(=O)OC1=CC=CC=C1C(=O)OC(=O)CCCCC(=O)OC(=O)C2=CC=CC=C2OC(=O)C	123153028	InChI=1S/C24H22O10/c1-15(25)31-19-11-5-3-9-17(19)23(29)33-21(27)13-7-8-14-22(28)34-24(30)18-10-4-6-12-20(18)32-16(2)26/h3-6,9-12H,7-8,13-14H2,1-2H3	470.43
CCCCCCCCCCCCCCCCCCCCCC(=O)O.CC(=O)OC1=CC=CC=C1C(=O)O	122699269	InChI=1S/C22H44O2.C9H8O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24;1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-21H2,1H3,(H,23,24);2-5H,1H3,(H,11,12)	520.751
CC1=CC=CC(=C1OCC2=CC=CC=C2)C(=O)O.Cl	122506534	InChI=1S/C15H14O3.ClH/c1-11-6-5-9-13(15(16)17)14(11)18-10-12-7-3-2-4-8-12;/h2-9H,10H2,1H3,(H,16,17);1H	278.732
CC(=CCCC(C)(C=C)C=CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O)C	122497080	InChI=1S/C25H28O3/c1-5-25(4,17-8-9-19(2)3)18-16-20-12-14-21(15-13-20)28-24(27)22-10-6-7-11-23(22)26/h5-7,9-16,18,26H,1,8,17H2,2-4H3/b18-16+/t25-/m1/s1	376.496
CC(=O)OC1=CC=CC=C1C(=O)OCC2CCC=CO2	122496387	InChI=1S/C15H16O5/c1-11(16)20-14-8-3-2-7-13(14)15(17)19-10-12-6-4-5-9-18-12/h2-3,5,7-9,12H,4,6,10H2,1H3	276.288
CC(C)(C=C)OC1=CC=CC=C1C(=O)O	122483018	InChI=1S/C12H14O3/c1-4-12(2,3)15-10-8-6-5-7-9(10)11(13)14/h4-8H,1H2,2-3H3,(H,13,14)	206.241
CCCCOC1=C(C=CC=C1C(=O)O)C(=O)O	122457366	InChI=1S/C12H14O5/c1-2-3-7-17-10-8(11(13)14)5-4-6-9(10)12(15)16/h4-6H,2-3,7H2,1H3,(H,13,14)(H,15,16)	238.239
CCCCC(CC)C(=O)OC1=CC=CC=C1C(=O)C	122441004	InChI=1S/C16H22O3/c1-4-6-9-13(5-2)16(18)19-15-11-8-7-10-14(15)12(3)17/h7-8,10-11,13H,4-6,9H2,1-3H3	262.349
CCCCCOC(=O)C1=CC=CC=C1OCCCCCC(=O)C	122440995	InChI=1S/C19H28O4/c1-3-4-9-15-23-19(21)17-12-7-8-13-18(17)22-14-10-5-6-11-16(2)20/h7-8,12-13H,3-6,9-11,14-15H2,1-2H3	320.429
CCOC(=O)C1=CC=CC=C1OC(=O)C=CC(=O)OC	122429251	InChI=1S/C14H14O6/c1-3-19-14(17)10-6-4-5-7-11(10)20-13(16)9-8-12(15)18-2/h4-9H,3H2,1-2H3/b9-8+	278.26
C1=CC=C(C(=C1)C(=O)O)OC(=O)CC=O	121484910	InChI=1S/C10H8O5/c11-6-5-9(12)15-8-4-2-1-3-7(8)10(13)14/h1-4,6H,5H2,(H,13,14)	208.169
CC(C)COC1=CC=CC=C1C(=O)[O-].[Na+]	121377008	InChI=1S/C11H14O3.Na/c1-8(2)7-14-10-6-4-3-5-9(10)11(12)13;/h3-6,8H,7H2,1-2H3,(H,12,13);/q;+1/p-1	216.212
CC(C)COC1=CC=CC=C1C(=O)O.[Na]	121377007	InChI=1S/C11H14O3.Na/c1-8(2)7-14-10-6-4-3-5-9(10)11(12)13;/h3-6,8H,7H2,1-2H3,(H,12,13);	217.22
C1=CC=C(C=C1)COC2=CC=CC=C2C(=O)O.[Na]	121376920	InChI=1S/C14H12O3.Na/c15-14(16)12-8-4-5-9-13(12)17-10-11-6-2-1-3-7-11;/h1-9H,10H2,(H,15,16);	251.237
CC1=CC(=CC(=O)O1)OC(=O)C2=CC=CC=C2OC(=O)C(=C)C	121308494	InChI=1S/C17H14O6/c1-10(2)16(19)23-14-7-5-4-6-13(14)17(20)22-12-8-11(3)21-15(18)9-12/h4-9H,1H2,2-3H3	314.293
CC(C1=CC=CC=C1OC(=O)C2=CC=CC=C2O)(OC)OC	121274537	InChI=1S/C17H18O5/c1-17(20-2,21-3)13-9-5-7-11-15(13)22-16(19)12-8-4-6-10-14(12)18/h4-11,18H,1-3H3	302.326
CCCCC(C1(CC1)C(=O)O)OC2=CC=CC=C2C(=O)O	121271007	InChI=1S/C16H20O5/c1-2-3-8-13(16(9-10-16)15(19)20)21-12-7-5-4-6-11(12)14(17)18/h4-7,13H,2-3,8-10H2,1H3,(H,17,18)(H,19,20)	292.331
CCCC(C1(CC1)C(=O)O)OC2=CC=CC=C2C(=O)O	121271006	InChI=1S/C15H18O5/c1-2-5-12(15(8-9-15)14(18)19)20-11-7-4-3-6-10(11)13(16)17/h3-4,6-7,12H,2,5,8-9H2,1H3,(H,16,17)(H,18,19)	278.304
CCCCCCCCC(C1(CC1)C(=O)O)OC2=CC=CC=C2C(=O)O	121270993	InChI=1S/C20H28O5/c1-2-3-4-5-6-7-12-17(20(13-14-20)19(23)24)25-16-11-9-8-10-15(16)18(21)22/h8-11,17H,2-7,12-14H2,1H3,(H,21,22)(H,23,24)	348.439
CC(C)(C)OC1=CC=CC=C1C(=O)ON	121242094	InChI=1S/C11H15NO3/c1-11(2,3)14-9-7-5-4-6-8(9)10(13)15-12/h4-7H,12H2,1-3H3	209.245
CCC(O)(O)OC(=O)C1=CC=CC=C1O	118978363	InChI=1S/C10H12O5/c1-2-10(13,14)15-9(12)7-5-3-4-6-8(7)11/h3-6,11,13-14H,2H2,1H3	212.201
CC1=COC(=O)C2=CC=CC=C2OCCCCCC1	118967472	InChI=1S/C16H20O3/c1-13-8-4-2-3-7-11-18-15-10-6-5-9-14(15)16(17)19-12-13/h5-6,9-10,12H,2-4,7-8,11H2,1H3/b13-12-	260.333
CCOC1=C(C=CC(=C1)C(=O)OC)C(=O)O	118918287	InChI=1S/C11H12O5/c1-3-16-9-6-7(11(14)15-2)4-5-8(9)10(12)13/h4-6H,3H2,1-2H3,(H,12,13)	224.212
CC(=O)CC(=O)OC(=O)C1=CC=CC=C1OC	118694441	InChI=1S/C12H12O5/c1-8(13)7-11(14)17-12(15)9-5-3-4-6-10(9)16-2/h3-6H,7H2,1-2H3	236.223
CC(=O)OC1=CC=CC=C1C(=O)O.C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O	118648674	InChI=1S/C14H10O5.C9H8O4/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17;1-6(10)13-8-5-3-2-4-7(8)9(11)12/h1-8,15H,(H,16,17);2-5H,1H3,(H,11,12)	438.388
CCOC1=CC=CC=C1C(=O)OOC(C)C	118625588	InChI=1S/C12H16O4/c1-4-14-11-8-6-5-7-10(11)12(13)16-15-9(2)3/h5-9H,4H2,1-3H3	224.256
CCCOC(=O)C1=CC(=C(C=C1)C(=O)O)OC(=O)C=C	118624720	InChI=1S/C14H14O6/c1-3-7-19-14(18)9-5-6-10(13(16)17)11(8-9)20-12(15)4-2/h4-6,8H,2-3,7H2,1H3,(H,16,17)	278.26
CCOC(=O)C1=CC(=C(C=C1)C(=O)O)OC(=O)C=C	118624709	InChI=1S/C13H12O6/c1-3-11(14)19-10-7-8(13(17)18-4-2)5-6-9(10)12(15)16/h3,5-7H,1,4H2,2H3,(H,15,16)	264.233
CCCCCCC=CC=CCCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	118604251	InChI=1S/C25H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-24(26)29-23-20-18-17-19-22(23)25(27)28/h7-10,17-20H,2-6,11-16,21H2,1H3,(H,27,28)/b8-7+,10-9+	400.559
CCCCCC=CCC=CCCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	118604250	InChI=1S/C25H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-24(26)29-23-20-18-17-19-22(23)25(27)28/h6-7,9-10,17-20H,2-5,8,11-16,21H2,1H3,(H,27,28)/b7-6-,10-9+	400.559
CCC=CCC=CCC=CCCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	118604249	InChI=1S/C25H34O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-24(26)29-23-20-18-17-19-22(23)25(27)28/h3-4,6-7,9-10,17-20H,2,5,8,11-16,21H2,1H3,(H,27,28)/b4-3+,7-6-,10-9+	398.543
CCO.COC1=CC=CC=C1C(=O)O	118510584	InChI=1S/C8H8O3.C2H6O/c1-11-7-5-3-2-4-6(7)8(9)10;1-2-3/h2-5H,1H3,(H,9,10);3H,2H2,1H3	198.218
CCOC(=O)C1=CC=CC=C1OC(=O)C=O	118508404	InChI=1S/C11H10O5/c1-2-15-11(14)8-5-3-4-6-9(8)16-10(13)7-12/h3-7H,2H2,1H3	222.196
CC(C)C(=C)C1=CC=CC=C1OC(=O)C2=CC=CC=C2O	118474285	InChI=1S/C18H18O3/c1-12(2)13(3)14-8-5-7-11-17(14)21-18(20)15-9-4-6-10-16(15)19/h4-12,19H,3H2,1-2H3	282.339
CCCC(OC1=CC=CC=C1C(=O)O)Br	118437078	InChI=1S/C11H13BrO3/c1-2-5-10(12)15-9-7-4-3-6-8(9)11(13)14/h3-4,6-7,10H,2,5H2,1H3,(H,13,14)	273.126
CCCCCCCCCCCC(=O)O.CC(=O)OC1=CC=CC=C1C(=O)O	118368266	InChI=1S/C12H24O2.C9H8O4/c1-2-3-4-5-6-7-8-9-10-11-12(13)14;1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-11H2,1H3,(H,13,14);2-5H,1H3,(H,11,12)	380.481
CCCCCCCCCCCCCCCC(=O)O.CC(=O)OC1=CC=CC=C1C(=O)O	118368260	InChI=1S/C16H32O2.C9H8O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18;1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-15H2,1H3,(H,17,18);2-5H,1H3,(H,11,12)	436.589
CC(CC=C)OC1=C(C=CC(=C1)F)C(=O)OC	118318850	InChI=1S/C13H15FO3/c1-4-5-9(2)17-12-8-10(14)6-7-11(12)13(15)16-3/h4,6-9H,1,5H2,2-3H3	238.258
CC(CC=C)OC1=C(C=C(C=C1)F)C(=O)OC	118318794	InChI=1S/C13H15FO3/c1-4-5-9(2)17-12-7-6-10(14)8-11(12)13(15)16-3/h4,6-9H,1,5H2,2-3H3/t9-/m0/s1	238.258
CC1=CC(=C(C=C1)OC(C)CC=C)C(=O)O	118307165	InChI=1S/C13H16O3/c1-4-5-10(3)16-12-7-6-9(2)8-11(12)13(14)15/h4,6-8,10H,1,5H2,2-3H3,(H,14,15)	220.268
CC(CC=C)OC1=C(C=C(C=C1)F)C(=O)O	118307138	InChI=1S/C12H13FO3/c1-3-4-8(2)16-11-6-5-9(13)7-10(11)12(14)15/h3,5-8H,1,4H2,2H3,(H,14,15)	224.231
CC(CC=C)OC1=C(C=C(C=C1)F)C(=O)OC	118307052	InChI=1S/C13H15FO3/c1-4-5-9(2)17-12-7-6-10(14)8-11(12)13(15)16-3/h4,6-9H,1,5H2,2-3H3	238.258
CC1=CC(=C(C=C1)C(=O)O)OC(C)CC=C	118307031	InChI=1S/C13H16O3/c1-4-5-10(3)16-12-8-9(2)6-7-11(12)13(14)15/h4,6-8,10H,1,5H2,2-3H3,(H,14,15)	220.268
CC(OC1=CC=CC=C1C(=O)O)OC(=O)C	118235401	InChI=1S/C11H12O5/c1-7(12)15-8(2)16-10-6-4-3-5-9(10)11(13)14/h3-6,8H,1-2H3,(H,13,14)	224.212
C=CCC=CCC=CCC=CCCCC(=O)OC1=CC=CC=C1C(=O)O	118146791	InChI=1S/C22H26O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-18-21(23)26-20-17-15-14-16-19(20)22(24)25/h2,4-5,7-8,10-11,14-17H,1,3,6,9,12-13,18H2,(H,24,25)/b5-4-,8-7-,11-10-	354.446
CCCCCCC=CC=CCCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	118144822	InChI=1S/C25H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-24(26)29-23-20-18-17-19-22(23)25(27)28/h7-10,17-20H,2-6,11-16,21H2,1H3,(H,27,28)/b8-7+,10-9-	400.559
CCCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC1=CC=CC=C1C(=O)O	118144745	InChI=1S/C30H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-26-29(31)34-28-25-23-22-24-27(28)30(32)33/h4-5,7-8,10-11,13-14,16-17,19-20,22-25H,2-3,6,9,12,15,18,21,26H2,1H3,(H,32,33)/b5-4+,8-7+,11-10+,14-13+,17-16+,20-19+	462.63
CCC=CCC=CCC=CCCCCCCCC(=O)OC1=CC=CC=C1C(=O)O	118144741	InChI=1S/C25H34O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-21-24(26)29-23-20-18-17-19-22(23)25(27)28/h3-4,6-7,9-10,17-20H,2,5,8,11-16,21H2,1H3,(H,27,28)/b4-3+,7-6-,10-9-	398.543
C=CCC=CCC=CCC=CCCCC(=O)OC1=CC=CC=C1C(=O)O	118144740	InChI=1S/C22H26O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-18-21(23)26-20-17-15-14-16-19(20)22(24)25/h2,4-5,7-8,10-11,14-17H,1,3,6,9,12-13,18H2,(H,24,25)/b5-4+,8-7+,11-10+	354.446
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC1=CC=CC=C1C(=O)O	118144738	InChI=1S/C27H34O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23-26(28)31-25-22-20-19-21-24(25)27(29)30/h3-4,6-7,9-10,12-13,15-16,19-22H,2,5,8,11,14,17-18,23H2,1H3,(H,29,30)/b4-3+,7-6+,10-9+,13-12+,16-15+	422.565
CCC(C)(C)C(=O)OC1=CC=CC(=C1C(=O)OC)O	118124392	InChI=1S/C14H18O5/c1-5-14(2,3)13(17)19-10-8-6-7-9(15)11(10)12(16)18-4/h6-8,15H,5H2,1-4H3	266.293
CCC(C)(C)C(=O)OC1=CC(=C(C=C1)O)C(=O)OC	118124389	InChI=1S/C14H18O5/c1-5-14(2,3)13(17)19-9-6-7-11(15)10(8-9)12(16)18-4/h6-8,15H,5H2,1-4H3	266.293
CCC(C)(C)C(=O)OC1=C(C=C(C=C1)O)C(=O)OC	118124388	InChI=1S/C14H18O5/c1-5-14(2,3)13(17)19-11-7-6-9(15)8-10(11)12(16)18-4/h6-8,15H,5H2,1-4H3	266.293
CC(=O)OC1=C(C=C(C=C1)CC2=CC=CC(=C2OC(=O)C)C(=O)O)C(=O)O	118077813	InChI=1S/C19H16O8/c1-10(20)26-16-7-6-12(9-15(16)19(24)25)8-13-4-3-5-14(18(22)23)17(13)27-11(2)21/h3-7,9H,8H2,1-2H3,(H,22,23)(H,24,25)	372.329
CC(=O)OC1=CC=CC(=C1)C2=CC(=C(C=C2)C(=O)O)OC(=O)C	118077810	InChI=1S/C17H14O6/c1-10(18)22-14-5-3-4-12(8-14)13-6-7-15(17(20)21)16(9-13)23-11(2)19/h3-9H,1-2H3,(H,20,21)	314.293
CCC1=CC=CC=C1OC(=O)C2=CC=CC=C2O	118041674	InChI=1S/C15H14O3/c1-2-11-7-3-6-10-14(11)18-15(17)12-8-4-5-9-13(12)16/h3-10,16H,2H2,1H3	242.274
CC(C)(C)CC1=CC=CC=C1OC(=O)C2=CC=CC=C2O	118040813	InChI=1S/C18H20O3/c1-18(2,3)12-13-8-4-7-11-16(13)21-17(20)14-9-5-6-10-15(14)19/h4-11,19H,12H2,1-3H3	284.355
CC(=O)O.C1=CC=C(C(=C1)C(=O)O)OCCCO	118035600	InChI=1S/C10H12O4.C2H4O2/c11-6-3-7-14-9-5-2-1-4-8(9)10(12)13;1-2(3)4/h1-2,4-5,11H,3,6-7H2,(H,12,13);1H3,(H,3,4)	256.254
CCC(O)OC1=CC=CC=C1C(=O)O.CC(=O)O	118035599	InChI=1S/C10H12O4.C2H4O2/c1-2-9(11)14-8-6-4-3-5-7(8)10(12)13;1-2(3)4/h3-6,9,11H,2H2,1H3,(H,12,13);1H3,(H,3,4)	256.254
CC(=O)OCCCOC1=CC=CC=C1C(=O)O	118035598	InChI=1S/C12H14O5/c1-9(13)16-7-4-8-17-11-6-3-2-5-10(11)12(14)15/h2-3,5-6H,4,7-8H2,1H3,(H,14,15)	238.239
COC1=CC=CC=C1C(=O)OC2=CC=C(C=C2)CO	117978550	InChI=1S/C15H14O4/c1-18-14-5-3-2-4-13(14)15(17)19-12-8-6-11(10-16)7-9-12/h2-9,16H,10H2,1H3	258.273
CC(C)(C)OC(=C)C1=CC=CC=C1OC(=O)C2=CC=CC=C2O	117971507	InChI=1S/C19H20O4/c1-13(23-19(2,3)4)14-9-6-8-12-17(14)22-18(21)15-10-5-7-11-16(15)20/h5-12,20H,1H2,2-4H3	312.365
CC(C)(C)C(=C)C1=CC=CC=C1OC(=O)C2=CC=CC=C2O	117960625	InChI=1S/C19H20O3/c1-13(19(2,3)4)14-9-6-8-12-17(14)22-18(21)15-10-5-7-11-16(15)20/h5-12,20H,1H2,2-4H3	296.366
CCOC1=CC=CC=C1C(=O)OC(=C(C)CCC=C(C)C)CCC(=CCCC(=CC)C)C	117818836	InChI=1S/C29H42O3/c1-8-23(5)15-13-16-24(6)20-21-27(25(7)17-12-14-22(3)4)32-29(30)26-18-10-11-19-28(26)31-9-2/h8,10-11,14,16,18-19H,9,12-13,15,17,20-21H2,1-7H3/b23-8+,24-16+,27-25+	438.652
CCC(CO)(CO)CO.CC(=C)C(=O)OC1=CC=CC=C1C(=O)O	117774997	InChI=1S/C11H10O4.C6H14O3/c1-7(2)11(14)15-9-6-4-3-5-8(9)10(12)13;1-2-6(3-7,4-8)5-9/h3-6H,1H2,2H3,(H,12,13);7-9H,2-5H2,1H3	340.372
CC1=CC=CC(=C1)C2=C(C(=CC=C2)C(=O)O)OC(=O)C	117705374	InChI=1S/C16H14O4/c1-10-5-3-6-12(9-10)13-7-4-8-14(16(18)19)15(13)20-11(2)17/h3-9H,1-2H3,(H,18,19)	270.284
CC(COC1=CC=CC=C1)OCC(C)OC2=CC=CC=C2C(=O)O	117703063	InChI=1S/C19H22O5/c1-14(12-23-16-8-4-3-5-9-16)22-13-15(2)24-18-11-7-6-10-17(18)19(20)21/h3-11,14-15H,12-13H2,1-2H3,(H,20,21)	330.38
CCC(C)C(=O)OC1=CC=CC=C1C(=O)C	117624075	InChI=1S/C13H16O3/c1-4-9(2)13(15)16-12-8-6-5-7-11(12)10(3)14/h5-9H,4H2,1-3H3	220.268
